batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,3,0,11,0.0010240125,0.1278343,0.23100354,0.029846912,0.40007356,No
0,3,0,12,-0.0004906248,0.12775615,0.051486537,-0.00564003,0.44488648,No
0,3,0,13,9.147942e-05,0.12856972,-0.0032848062,-0.118959166,0.44181257,No
0,3,0,14,0.00036174068,0.13056313,-0.02367497,-0.02155375,0.42266902,No
0,3,0,15,-0.00024227644,0.13069828,0.021289773,-0.019203844,0.44437486,Yes
0,3,0,16,0.00027321748,0.13221754,-0.02129977,-0.060598504,0.4630453,Yes
0,3,0,17,0.0019292183,0.13126361,0.19956507,0.11551263,0.48575857,No
0,3,0,18,0.00045337086,0.13236773,-0.019015506,-0.020406395,0.5348904,No
0,3,0,19,0.00057976414,0.13343808,-0.02302675,-0.10801992,0.5940573,No
0,3,0,20,0.00029353483,0.13430615,-0.06610686,0.006008954,0.665467,No
0,3,0,21,-0.00040995827,0.13458481,0.027516076,-0.00965396,0.77621263,No
0,3,0,22,0.00022638755,0.13462222,-0.06996237,-0.041855317,0.8377315,No
0,3,0,23,-0.00016857902,0.13507348,0.007217373,-0.06822276,0.9626431,Yes
0,3,0,24,0.00038036515,0.13581777,-0.031810153,-0.054886416,1.11031,No
0,3,1,0,8.435266e-05,0.114228845,-0.0067878673,-0.025752492,0.02232965,Yes
0,3,1,1,-0.00069401826,0.11517484,0.032403495,-0.024595516,0.045068663,Yes
0,3,1,2,2.640848e-05,0.11644116,-0.0034464793,-0.018390613,0.076433904,Yes
0,3,1,3,-5.630049e-05,0.118207015,0.006755609,-0.028402764,0.099034056,Yes
0,3,1,4,1.6326367e-05,0.11760076,-0.0019705743,-0.052829,0.16392034,No
0,3,1,5,-5.7932575e-06,0.117579035,0.00069185515,-0.060942747,0.22694519,No
0,3,1,6,0.00028460636,0.11904395,-0.03264437,-0.067489065,0.29954103,No
0,3,1,7,0.00017905532,0.11952241,-0.020774791,-0.056365237,0.29427493,No
0,3,1,8,0.00023446999,0.120218195,-0.027957851,-0.11650535,0.39292666,No
0,3,1,9,6.503101e-05,0.11899601,-0.0074510965,0.02845247,0.37024474,No
0,3,1,10,8.1689024e-05,0.12042482,-0.009868922,-0.061456185,0.40027308,Yes
0,3,1,11,-0.001999641,0.12225245,0.23100354,0.030138291,0.39980856,Yes
0,3,1,12,-0.00043875378,0.12127544,0.051486537,-0.0053472733,0.4053222,Yes
0,3,1,13,2.8008135e-05,0.12120986,-0.0032848062,-0.118608244,0.40903968,Yes
0,3,1,14,0.00020209671,0.122012734,-0.02367497,-0.021320544,0.4000421,Yes
0,3,1,15,-0.00018107703,0.121428005,0.021289773,-0.01910054,0.4274925,No
0,3,1,16,0.00017952568,0.12201337,-0.02129977,-0.06033386,0.4199626,No
0,3,1,17,-0.0017076274,0.12061367,0.19956507,0.11593695,0.47128928,Yes
0,3,1,18,0.00016058923,0.12046234,-0.019015506,-0.020413358,0.53968763,Yes
0,3,1,19,0.00019510456,0.12098257,-0.02302675,-0.107485764,0.60023063,Yes
0,3,1,20,0.00057394383,0.12079571,-0.06610686,0.006200833,0.6984321,Yes
0,3,1,21,-0.00023392845,0.12126149,0.027516076,-0.009727245,0.8385406,Yes
